,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
11182,27888,48,F,1.0,90,38722,1,1,Rent,85065,4/27/2015,Monday,Parking Lot,1,0.0,76,Phone,0,3902.340489,5.0,Medium,14964.68395,gray,9551.983348
9113,22833,51,M,1.0,87,39325,0,0,Own,15003,4/23/2016,Saturday,Highway,5,0.0,90,Broker,1,4692.297586,6.0,Medium,24782.63581,silver,24387.65349
11396,28452,52,F,1.0,78,39508,1,0,Own,85029,10/11/2015,Sunday,Parking Lot,1,0.0,24,Phone,1,11083.608,7.0,Compact,33857.06077,white,14141.92945
11562,28893,53,M,1.0,67,39692,1,1,Rent,15042,7/17/2015,Friday,Highway,1,0.0,96,Broker,0,5576.4682490000005,7.0,Medium,36864.12903,black,23217.73281
9469,23740,41,M,1.0,71,37150,1,1,Rent,20110,8/4/2016,Thursday,Local,1,0.0,1,Phone,1,8305.638771,7.0,Compact,32335.88007,black,18603.63905
5492,13822,45,M,1.0,69,38062,1,1,Own,50006,4/4/2016,Monday,Local,1,1.0,22,Broker,1,3246.70803,3.0,Compact,14081.83454,white,10993.4506
7562,19011,31,F,1.0,46,34352,0,1,Own,50009,12/17/2015,Thursday,Parking Lot,0,0.0,94,Broker,0,7883.077884,8.0,Compact,6393.061347999999,white,21724.3981
1206,3033,50,M,0.0,74,39109,1,1,Rent,80002,5/9/2015,Saturday,Local,1,0.0,64,Phone,1,4658.540807,8.0,Medium,8416.173048999999,red,6036.911878
11673,29140,52,M,0.0,66,39506,1,0,Rent,80107,11/28/2016,Monday,Parking Lot,0,0.0,65,Phone,1,14083.47866,8.0,Medium,20846.33642,blue,31383.90732
3384,8543,49,M,1.0,79,38923,1,1,Own,50039,2/6/2016,Saturday,Highway,0,1.0,51,Broker,0,7646.722084999999,6.0,Large,15112.8022,silver,30537.10722
1541,3869,21,F,1.0,69,30440,1,1,Rent,20141,8/6/2016,Saturday,Parking Lot,1,0.0,48,Online,0,5924.560297,4.0,Large,6973.417087999999,black,18107.688830000003
6116,15335,45,M,1.0,91,38065,1,0,Own,50051,2/11/2016,Thursday,Local,0,1.0,48,Broker,1,1608.864923,7.0,Compact,19495.7203,white,15931.36665
6706,16794,48,M,0.0,74,38711,0,0,Own,20164,1/3/2016,Sunday,Parking Lot,0,0.0,72,Broker,1,5080.304216,9.0,Compact,20329.81374,red,11545.60626
10723,26812,36,M,1.0,68,35827,1,0,Own,85033,11/29/2016,Tuesday,Highway,1,0.0,90,Broker,1,3335.389882,5.0,Medium,30074.85509,gray,53821.77524
10921,27303,56,M,0.0,73,40254,1,0,Own,50025,4/22/2015,Wednesday,Local,0,1.0,39,Broker,1,6417.160651,5.0,Compact,26609.35717,other,18558.41393
10152,25407,25,F,1.0,61,32194,0,1,Own,20109,8/20/2015,Thursday,Parking Lot,1,1.0,83,Online,1,2517.152418,6.0,Large,34048.89196,black,36226.52327
3431,8674,39,F,0.0,91,36634,1,0,Rent,15020,2/19/2016,Friday,Highway,0,0.0,64,Broker,0,4763.310402,7.0,Medium,17469.53386,other,10047.13239
2130,5294,47,M,0.0,58,38501,0,1,Rent,15021,12/31/2015,Thursday,Local,3,0.0,100,Broker,1,4282.631305,7.0,Compact,21797.52758,other,25389.42721
3838,9705,63,F,1.0,62,41434,1,1,Own,80022,12/2/2015,Wednesday,Parking Lot,1,0.0,75,Phone,0,5408.628554999999,3.0,Large,27288.2862,silver,47650.65836
11119,27738,42,F,1.0,37,37365,1,0,Rent,85021,2/11/2015,Wednesday,Local,0,0.0,61,Broker,1,9325.949868000002,5.0,Large,12820.46204,silver,10942.55987
1683,4206,53,F,0.0,88,39696,1,1,Own,50049,6/18/2016,Saturday,Parking Lot,0,0.0,39,Phone,1,3330.139968,7.0,Large,25392.87415,silver,16315.71592
8483,21263,43,M,1.0,74,37603,1,1,Own,50050,2/26/2016,Friday,Local,0,0.0,18,Phone,0,8206.515362,7.0,Medium,15858.5454,other,24820.93447
6304,15812,41,M,1.0,71,37120,1,1,Rent,50021,9/5/2016,Monday,Parking Lot,0,1.0,93,Broker,1,5819.754888,7.0,Large,3432.566196,red,6946.573808
1258,3161,44,M,1.0,50,37846,0,0,Own,80045,11/6/2015,Friday,Highway,0,0.0,4,Broker,0,4949.435616,2.0,Medium,44975.58862,other,9435.127534
9080,22745,30,F,1.0,51,34007,1,1,Own,20106,8/20/2016,Saturday,Local,0,1.0,36,Phone,1,5730.212042,3.0,Compact,4461.793387,gray,28615.22407
2979,7482,37,M,1.0,76,36112,1,1,Rent,80005,8/3/2016,Wednesday,Parking Lot,0,0.0,77,Broker,1,6731.662548,4.0,Medium,38355.14433,blue,34498.30661
7728,19403,32,M,1.0,77,34639,0,1,Rent,85010,7/21/2016,Thursday,Parking Lot,2,0.0,96,Broker,1,4258.196874,3.0,Compact,28454.3364,gray,7611.125888
7927,19865,50,F,1.0,73,39128,1,1,Own,80022,1/4/2015,Sunday,Highway,0,1.0,5,Broker,1,1853.766691,7.0,Medium,26445.34268,blue,9172.373778
1047,2652,39,M,1.0,48,36645,1,1,Rent,85074,1/8/2016,Friday,Parking Lot,0,0.0,73,Broker,1,3058.282589,2.0,Medium,20951.44154,gray,6899.404737999999
10598,26521,40,F,1.0,72,36895,0,1,Own,85068,11/12/2016,Saturday,Local,0,1.0,56,Phone,0,4980.604674,3.0,Medium,42979.88497,gray,9849.339273
9800,24571,40,F,1.0,82,36881,1,1,Rent,50049,5/22/2015,Friday,Local,0,0.0,8,Broker,0,6574.94615,3.0,Compact,60118.87245,other,23260.13872
1917,4779,34,F,0.0,79,35267,1,0,Own,20103,12/8/2016,Thursday,Local,3,0.0,60,Broker,1,9927.28387,3.0,Medium,10732.69859,blue,13667.79087
6068,15233,31,M,1.0,77,34331,1,1,Own,85075,6/12/2015,Friday,Highway,0,0.0,2,Phone,1,12175.91185,5.0,Compact,17077.41377,blue,38790.78166
3080,7739,32,M,1.0,74,34661,1,0,Own,85008,1/2/2016,Saturday,Local,0,0.0,97,Phone,1,4566.143665,6.0,Large,42544.46405,blue,18279.84517
2209,5502,51,F,1.0,39,39313,0,1,Rent,15042,4/5/2016,Tuesday,Local,0,0.0,6,Phone,1,4918.878286,5.0,Medium,5174.529425,gray,19332.724980000003
1511,3807,36,F,0.0,66,35823,1,1,Own,80020,1/11/2015,Sunday,Local,0,0.0,14,Phone,1,4704.847737,6.0,Medium,11052.29735,white,8050.970226
4962,12457,34,M,1.0,63,35265,0,1,Own,85051,8/15/2016,Monday,Highway,0,0.0,98,Phone,0,4309.4467,3.0,Large,24682.32299,red,35887.85141
10464,26180,36,F,1.0,70,35832,1,0,Own,50008,3/26/2015,Thursday,Highway,3,1.0,58,Online,1,9578.641548,3.0,Compact,8425.665411,blue,17209.72733
8619,21606,55,M,1.0,81,40074,1,0,Rent,15012,8/8/2016,Monday,Parking Lot,0,0.0,9,Phone,1,2898.964315,9.0,Compact,21945.60869,other,6102.140869
11243,28077,27,F,1.0,88,32966,1,1,Rent,20120,8/5/2015,Wednesday,Local,0,0.0,100,Online,1,4881.627584000001,8.0,Large,22279.02934,blue,41256.952710000005
5669,14262,41,F,1.0,47,37143,0,0,Own,15060,11/6/2016,Sunday,Parking Lot,0,0.0,50,Broker,0,5194.386606,5.0,Medium,33185.4276,white,11730.26636
9656,24217,36,F,0.0,49,35842,1,0,Own,15018,12/24/2015,Thursday,Parking Lot,0,0.0,65,Broker,0,5147.301925,4.0,Compact,20801.05151,black,10113.0011
8481,21258,48,F,0.0,79,38708,1,1,Rent,50009,5/3/2015,Sunday,Local,1,0.0,92,Broker,1,3086.74852,5.0,Medium,41133.55126,other,19908.93245
6318,15845,51,M,1.0,91,39301,1,1,Rent,50007,11/12/2015,Thursday,Parking Lot,0,0.0,48,Broker,0,5013.743181,7.0,Medium,18769.43629,black,27824.09
7176,17994,34,M,1.0,19,35256,0,0,Rent,20105,10/22/2015,Thursday,Local,0,0.0,9,Broker,0,1596.735006,3.0,Large,8934.255078,white,25718.97718
615,1572,47,F,1.0,50,38489,1,0,Own,20116,12/15/2016,Thursday,Local,0,0.0,0,Broker,1,4060.553871,3.0,Large,20755.27675,gray,14016.678580000002
7412,18631,33,M,0.0,92,34951,0,0,Rent,15001,6/28/2016,Tuesday,Parking Lot,0,0.0,99,Broker,0,3842.273613,8.0,Medium,37091.56427,other,11846.23223
9047,22667,44,M,1.0,87,37830,1,0,Own,85028,12/14/2015,Monday,Highway,0,0.0,100,Phone,0,3710.358036,8.0,Medium,19360.25874,black,14135.31914
4679,11780,50,F,1.0,59,39127,0,0,Rent,20164,8/20/2016,Saturday,Parking Lot,1,0.0,16,Broker,0,5384.872638,8.0,Medium,8304.318153,blue,12013.12682
10669,26676,54,F,0.0,39,39877,1,1,Rent,80014,5/10/2016,Tuesday,Local,1,0.0,22,Phone,1,1349.328675,3.0,Medium,22003.84494,silver,36305.51761
10243,25636,54,M,1.0,76,39875,1,0,Rent,15018,10/30/2015,Friday,Highway,0,1.0,79,Broker,0,5252.105344,6.0,Large,40049.50145,red,27764.64934
6333,15891,38,M,1.0,71,36394,0,1,Own,20105,10/21/2016,Friday,Local,0,0.0,4,Phone,0,2389.914872,6.0,Medium,33974.21608,gray,22151.18785
3058,7672,32,F,1.0,82,34653,1,0,Rent,20151,7/20/2016,Wednesday,Highway,0,0.0,96,Broker,1,6788.255866,2.0,Medium,8621.31379,gray,8206.380456
10043,25137,39,M,0.0,90,36632,1,1,Rent,50021,1/30/2015,Friday,Local,3,0.0,50,Broker,1,2630.199558,6.0,Large,18580.76935,black,5126.58365
2176,5409,56,F,1.0,61,40243,1,1,Own,50002,9/17/2015,Thursday,Parking Lot,0,0.0,4,Broker,1,3763.046557,7.0,Compact,17237.64385,red,19129.64737
406,1037,72,F,1.0,61,42790,1,1,Rent,80022,3/9/2015,Monday,Parking Lot,0,0.0,13,Broker,1,7448.356651999999,5.0,Large,28575.59156,black,38386.06004
8461,21212,34,M,1.0,75,35260,1,1,Own,15012,6/20/2016,Monday,Highway,0,0.0,43,Online,1,6058.539339,2.0,Compact,37334.69302,silver,14674.64386
10220,25580,41,F,1.0,60,37141,1,1,Own,20142,2/1/2016,Monday,Local,0,0.0,32,Phone,1,4992.366794,8.0,Compact,18575.61044,white,16496.29506
5842,14673,38,M,0.0,89,36376,1,0,Own,80016,11/7/2016,Monday,Parking Lot,0,0.0,50,Phone,1,4002.990113,6.0,Compact,15590.60565,black,52645.23275
1796,4493,56,F,1.0,85,40260,1,1,Own,20105,11/24/2015,Tuesday,Parking Lot,0,1.0,0,Phone,1,3689.237639,2.0,Compact,13079.65564,other,30407.86687
10118,25331,62,M,1.0,54,41289,0,0,Rent,50014,10/27/2016,Thursday,Highway,0,0.0,14,Broker,0,2583.681261,3.0,Compact,11545.45052,blue,16762.73353
1809,4521,40,M,1.0,75,36892,1,0,Own,50009,8/15/2015,Saturday,Highway,3,0.0,72,Broker,1,5271.405682,2.0,Medium,10558.24134,silver,20247.23807
3929,9925,39,F,0.0,72,36649,1,1,Own,15033,6/20/2015,Saturday,Local,0,1.0,54,Phone,0,6167.951273,4.0,Compact,26461.59143,black,21869.94322
10246,25642,31,M,1.0,93,34356,1,1,Rent,15031,6/1/2016,Wednesday,Parking Lot,0,0.0,13,Online,1,5049.645009000001,9.0,Compact,40383.63652,silver,14866.7523
7118,17849,40,F,1.0,59,36888,1,0,Rent,85016,3/20/2015,Friday,Highway,0,0.0,49,Phone,0,4122.852715,5.0,Compact,31636.73442,red,19382.1971
2512,6266,48,M,1.0,47,38717,1,0,Own,20148,6/11/2015,Thursday,Highway,0,0.0,100,Broker,0,6454.677017,5.0,Compact,17064.75745,white,14949.33174
11772,29395,36,F,0.0,86,35830,1,1,Rent,80023,5/8/2015,Friday,Local,0,0.0,1,Broker,0,5654.027623,3.0,Compact,22015.50413,black,36338.91509
6899,17299,58,F,1.0,46,40602,1,0,Own,15050,10/31/2016,Monday,Parking Lot,1,0.0,92,Phone,0,2937.5514510000003,4.0,Compact,11218.80452,red,6874.288431
1163,2921,29,M,1.0,81,33669,1,1,Rent,15021,12/14/2016,Wednesday,Local,0,0.0,88,Online,0,5520.225954,1.0,Medium,5254.283134,white,16059.15555
7538,18939,35,M,1.0,69,35542,1,0,Rent,80046,11/5/2015,Thursday,Highway,0,1.0,56,Broker,0,6712.531856999999,5.0,Medium,8058.762927,white,18171.2415
8133,20402,43,F,1.0,67,37618,1,0,Own,80014,10/5/2015,Monday,Parking Lot,0,1.0,24,Online,1,2944.369733,5.0,Large,26777.8648,white,29675.33125
6315,15840,37,M,1.0,75,36126,0,0,Rent,85017,5/25/2015,Monday,Local,0,0.0,50,Broker,1,4834.355568999999,4.0,Large,7856.449766,gray,37415.31434
4413,11155,40,M,1.0,51,36876,0,1,Own,20121,12/25/2016,Sunday,Highway,0,1.0,51,Phone,1,7922.509379000001,5.0,Large,15559.32255,red,29573.81832
10698,26738,54,M,1.0,78,39897,1,1,Rent,85068,10/9/2015,Friday,Highway,0,0.0,80,Phone,1,3886.072838,8.0,Large,17424.77529,red,15692.12466
5,18,41,F,0.0,69,37140,1,0,Own,80020,7/3/2015,Friday,Local,0,0.0,50,Broker,0,4149.131691,6.0,Medium,35593.05793,red,22791.12389
6767,16950,22,M,1.0,73,30915,0,1,Rent,85074,5/10/2016,Tuesday,Parking Lot,0,0.0,22,Online,0,3343.85018,7.0,Compact,17495.78106,other,4858.912389
5652,14220,42,F,0.0,82,37372,0,1,Rent,85022,9/1/2015,Tuesday,Local,0,0.0,97,Phone,0,2551.309702,3.0,Medium,13925.8711,gray,35043.07765
8788,22007,34,M,1.0,75,35273,1,1,Rent,20101,4/9/2016,Saturday,Local,0,0.0,90,Broker,0,9810.579992,6.0,Medium,39473.72768,blue,28682.478280000003
5281,13295,38,M,1.0,73,36362,1,1,Rent,15049,9/8/2015,Tuesday,Local,1,0.0,30,Broker,0,6972.851245999999,4.0,Compact,58894.09035,red,20761.13023
8754,21931,32,M,0.0,57,34673,1,1,Rent,80024,4/18/2016,Monday,Highway,0,0.0,96,Broker,1,6395.734347,6.0,Compact,20182.00096,silver,6871.884869
10604,26532,38,M,1.0,60,36379,1,1,Own,85051,1/10/2015,Saturday,Local,0,0.0,40,Broker,0,3603.072663,3.0,Large,10653.64617,gray,23864.27077
8678,21749,41,F,1.0,32,37125,0,1,Own,20128,5/16/2015,Saturday,Local,0,1.0,36,Phone,0,2955.695457,5.0,Medium,25036.29038,gray,6355.19083
1596,3991,52,F,1.0,69,39514,1,0,Own,50035,2/18/2015,Wednesday,Highway,1,0.0,1,Phone,1,2122.873462,5.0,Large,21221.26225,black,29201.29849
9598,24054,37,M,1.0,51,36101,0,0,Own,80021,9/16/2016,Friday,Local,3,0.0,71,Broker,1,5563.079847,4.0,Medium,30446.55842,silver,34306.65303
1806,4515,41,M,1.0,83,37144,1,1,Rent,85082,5/17/2016,Tuesday,Parking Lot,0,0.0,51,Phone,0,1843.014895,5.0,Compact,38659.68696,red,15771.767719999998
6211,15591,35,F,1.0,47,35545,0,1,Own,50002,5/5/2016,Thursday,Parking Lot,0,0.0,3,Broker,0,4324.306375,4.0,Large,24754.28093,gray,16185.62314
9078,22743,39,F,0.0,73,36633,1,1,Rent,15006,9/11/2016,Sunday,Local,4,0.0,30,Phone,1,10087.54842,7.0,Compact,7232.657593000001,blue,24616.00084
3166,7991,37,M,1.0,71,36112,1,1,Own,80003,11/18/2016,Friday,Highway,1,0.0,72,Broker,1,8984.972031,2.0,Compact,26172.9177,blue,26574.43254
797,2030,54,M,1.0,61,39889,1,0,Own,15052,11/7/2016,Monday,Local,0,1.0,36,Broker,1,11121.32871,5.0,Compact,32607.5193,red,10885.99404
3680,9306,33,M,1.0,90,34977,1,0,Own,85055,10/26/2016,Wednesday,Local,0,0.0,77,Broker,1,4923.707066,5.0,Compact,20043.93861,silver,12685.60355
2257,5641,22,F,1.0,86,30896,0,0,Rent,20111,7/20/2016,Wednesday,Parking Lot,0,0.0,79,Phone,0,7055.647275,4.0,Medium,14610.109730000002,white,52695.02343
7222,18131,38,M,1.0,81,36364,1,1,Own,85041,8/23/2016,Tuesday,Local,0,0.0,17,Broker,0,7036.309426999999,4.0,Medium,25546.02823,gray,37555.75687
6651,16672,37,F,1.0,66,36114,1,0,Own,15030,12/24/2016,Saturday,Local,0,0.0,0,Phone,0,6543.983435,3.0,Medium,9999.218964,other,25131.67965
198,487,41,F,1.0,48,37131,0,1,Own,50022,3/13/2016,Sunday,Local,0,0.0,14,Broker,0,7077.157253,3.0,Large,13702.750869999998,blue,11161.1373
7665,19271,32,M,1.0,87,34652,0,0,Own,80017,12/16/2015,Wednesday,Local,0,0.0,77,Broker,1,5213.974354,7.0,Large,27468.56142,black,10600.54552
11852,29638,45,M,0.0,89,38053,0,0,Rent,20108,7/31/2015,Friday,Local,1,0.0,26,Broker,1,7939.619297,3.0,Compact,15458.877169999998,blue,7066.955870000001
2813,7044,63,M,1.0,95,41433,1,1,Own,80022,10/14/2015,Wednesday,Local,0,0.0,23,Broker,0,4024.910158,6.0,Compact,13089.09205,black,18090.87224
4503,11359,54,F,0.0,88,39889,0,0,Own,50012,5/3/2015,Sunday,Highway,1,1.0,99,Phone,0,4290.601003,6.0,Compact,21478.192430000003,red,17338.23943
1930,4810,50,M,1.0,89,39118,1,1,Own,85028,9/3/2015,Thursday,Local,0,1.0,2,Broker,1,2135.661564,6.0,Large,14833.07476,silver,19870.94381
8625,21617,71,M,1.0,68,42626,1,1,Rent,80011,2/4/2016,Thursday,Parking Lot,0,0.0,50,Phone,0,4427.44211,7.0,Medium,30869.1665,blue,38422.131010000005
264,654,27,F,1.0,69,32952,1,0,Own,80024,3/15/2015,Sunday,Local,3,0.0,86,Phone,1,4045.376399,7.0,Compact,10073.11234,blue,19897.24191
3077,7731,53,M,0.0,72,39706,1,1,Rent,85030,12/25/2016,Sunday,Local,0,0.0,60,Broker,0,3487.1966880000004,9.0,Large,33914.055,red,10484.98577
10642,26631,60,M,1.0,68,40940,1,1,Rent,20165,5/4/2015,Monday,Parking Lot,0,1.0,3,Phone,0,2408.888215,6.0,Medium,22396.91148,blue,2861.228945
11206,27957,42,F,1.0,67,37376,1,0,Own,15037,11/24/2015,Tuesday,Local,0,0.0,27,Phone,0,2859.689351,3.0,Compact,41628.91997,white,9770.63451
2661,6649,66,F,1.0,76,41897,1,0,Rent,80040,7/20/2015,Monday,Parking Lot,2,0.0,73,Phone,1,4488.683899000001,5.0,Compact,29643.89266,gray,16559.03155
10596,26518,37,F,1.0,89,36100,1,1,Rent,15045,10/25/2015,Sunday,Highway,0,1.0,22,Phone,1,10240.99141,3.0,Compact,8815.099920999999,white,19022.64224
5890,14778,51,F,1.0,75,39308,1,0,Own,15050,4/13/2016,Wednesday,Parking Lot,0,0.0,17,Broker,1,3167.317662,3.0,Large,21669.91254,silver,9490.708345
10339,25883,42,F,0.0,79,37373,1,0,Own,20135,8/9/2015,Sunday,Parking Lot,1,0.0,22,Broker,1,3425.1746729999995,8.0,Large,25254.38642,gray,40590.64808
9194,23090,42,F,1.0,88,37369,0,1,Own,50039,10/19/2015,Monday,Local,0,0.0,0,Broker,1,4514.112086,10.0,Compact,32735.97637,red,39875.05038
4199,10578,52,M,1.0,88,39488,0,1,Own,85078,8/2/2015,Sunday,Highway,0,0.0,64,Phone,0,3501.246445,3.0,Medium,25073.37447,red,37088.6304
1971,4916,33,M,1.0,84,34972,0,1,Own,80025,1/27/2015,Tuesday,Local,0,0.0,97,Broker,1,3733.915107,3.0,Compact,7664.381052,red,19804.82414
4544,11464,24,M,1.0,63,31780,1,0,Own,50038,5/27/2015,Wednesday,Local,1,0.0,2,Online,0,4353.664511999999,5.0,Compact,6529.671989,black,62233.81558
2544,6351,22,M,1.0,71,30910,1,1,Rent,15025,1/10/2015,Saturday,Highway,0,0.0,3,Online,0,2810.35842,4.0,Large,15889.34633,blue,19965.36503
2912,7332,33,M,1.0,52,34962,0,1,Own,15035,11/8/2015,Sunday,Parking Lot,0,0.0,100,Broker,0,5399.351854,5.0,Compact,16993.64992,other,21848.90774
10745,26863,47,M,1.0,93,38516,1,0,Own,50012,11/3/2016,Thursday,Local,1,0.0,51,Phone,1,7480.482084,5.0,Medium,5948.594945000001,blue,12113.26435
437,1122,52,F,1.0,91,39513,1,0,Own,50049,8/17/2015,Monday,Local,5,0.0,76,Broker,1,5499.88864,5.0,Compact,28171.08014,silver,23609.1358
5305,13353,41,F,1.0,81,37149,0,0,Own,50039,11/15/2015,Sunday,Local,1,0.0,15,Broker,1,4872.758929,2.0,Medium,15884.22931,other,34429.9685
3902,9860,37,F,0.0,71,36090,0,0,Rent,15009,10/22/2015,Thursday,Parking Lot,0,0.0,93,Broker,1,5185.60768,9.0,Medium,24315.41232,silver,15304.692
